psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.8038737600940092,0.8294655240042071,0.9585841650299469,0.9980018128378058,-5.828392481198354,-4.551481598603138,-2.005815099595317,0.0,4.465,15.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.42898331432138703,0.6687419120322183,0.8212534640253472,0.9981186631692976,-6.213128082969318,-4.182325947772982,-0.9245111778679211,0.0,8.746,22.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.22091496719884668,0.5672104275876915,0.6629687225776044,0.998008959109235,-6.442047490538939,-3.9222837956556504,-0.4186193187277556,1.0,12.6994,28.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.13064002971670713,0.5002380838627554,0.539648841935654,0.9974811452889415,-6.608309216129612,-3.736966693250521,-0.14061081526660787,5.0,16.3873,32.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.0795172647283626,0.44711533507246043,0.4468459434097144,0.997877567445863,-6.726626545079515,-3.5864696656678454,0.0880745056639397,6.0,19.9686,40.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.06507670894664119,0.41391026287146604,0.38175643993185404,0.99719098328435,-6.81387557622083,-3.488870501390745,0.22219198878913962,7.0,23.3866,43.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.05341808515795339,0.39222347873292934,0.34383576013300154,0.9953747621298079,-6.898766755988385,-3.4184571179626344,0.31080794671818246,11.0,26.8477,48.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.047664603238391445,0.3712832254807019,0.30857315676635116,0.9968952445343564,-6.996831386742377,-3.385079380109974,0.37305199200685113,12.0,30.1322,51.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.04245695567935049,0.35967095987266545,0.2882211664026557,0.9944074031523921,-7.0879507110225095,-3.357305816128094,0.4235200689893142,12.0,33.3669,54.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03536091001369205,0.34478582694479304,0.2667743001035813,0.9941975334348085,-7.175895133351881,-3.337225317233322,0.4954470628240673,15.0,36.6426,61.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03217117940784284,0.3366243897699408,0.2526659994896669,0.9928684102453389,-7.226661962654231,-3.332034522983555,0.5350576734918415,19.0,39.9066,66.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.031856077957665666,0.33923644042320567,0.2599705679716404,0.992167641178272,-7.301998884828117,-3.3281950649643885,0.5169594656317198,22.0,43.1358,72.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.025617640182042503,0.3284743990396112,0.2329171898105314,0.995058029820691,-7.366487560817753,-3.312301310839314,0.5897810786321142,24.0,46.637,80.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.032397701485252325,0.33697757212459667,0.25186697046320505,0.9952765322929181,-7.439382679993137,-3.332366905034293,0.5170364271973498,25.0,49.9632,80.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.02834859676098461,0.3351856651308692,0.24621443216725622,0.9955493191375485,-7.4939045189607265,-3.3438988048401357,0.5436325753949329,30.0,53.2666,82.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03077415122230295,0.33665826265559556,0.25440044484306057,0.9952541615390554,-7.590898280280265,-3.378075113685494,0.5369989570673639,34.0,56.7385,88.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03194399147832326,0.33648664183410004,0.25730254262249486,0.9959457210502671,-7.694157020048407,-3.3924945052666255,0.5158080931828126,36.0,60.2475,96.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.028609078515725406,0.33199164920309804,0.24163101431655898,0.9971762200820647,-7.78189421293716,-3.3945030266645144,0.5613035090917053,38.0,63.82,101.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03239924078319722,0.33784525604434046,0.2484892001440937,0.997235621955058,-7.894433533061164,-3.4392317576736504,0.5215945443625808,40.0,67.5016,100.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.031615200254773004,0.33996181408450654,0.2521114864358379,0.9985174875109887,-8.00449272503726,-3.477986655464891,0.5129280284945262,42.0,71.3897,102.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.036234516797106195,0.3474211241995704,0.2662468418661979,0.9949351260867749,-8.15421607316464,-3.53621744849058,0.4917926076300153,44.0,75.4551,105.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03324795408676722,0.34493291297099904,0.2620787126521892,0.9944784971258103,-8.28452442342161,-3.5630346858912585,0.5003539589474509,48.0,79.4197,112.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03355102480570224,0.34358983972421836,0.26123526399418606,0.9970712276501923,-8.34437161953411,-3.5680859193729293,0.5133446558919843,52.0,83.261,115.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.036271918301725825,0.3474518481032268,0.2685061733887467,0.9965758788177735,-8.427047491624934,-3.5838559198590207,0.4661471897408687,52.0,86.9946,120.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.034525914735228924,0.34836225804376625,0.26585187619692685,0.995440903439884,-8.504694842747377,-3.6191404482821783,0.4842532804371212,53.0,90.6504,125.0,0.1,10000,-9017081815283630298,5,9,10000
10000,0.03695788660378352,0.3547472446752187,0.27795638666988265,0.9949148650308562,-8.577156632349856,-3.6659943219498237,0.46336320188964136,62.0,94.1295,125.0,0.1,10000,-9017081815283630298,5,9,10000
