psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.7963594878268454,0.824668211647408,0.9547416838091294,0.9980984844101665,-5.842887594230492,-4.543605049864575,-1.9627991884413518,0.0,4.5129,14.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.42018077487897887,0.6673362444129358,0.8120733358882839,0.9986986306278327,-6.229558470177366,-4.18384855794523,-0.9211118859933358,1.0,8.7798,22.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.21908248064212477,0.5691273195120313,0.6615111761432864,0.9987765459511367,-6.471371422589511,-3.924172936981397,-0.44747114237886365,2.0,12.6984,27.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.13644204950621017,0.5000243065985722,0.5421201306912575,0.9993950803762294,-6.612549637533781,-3.7397595608322356,-0.14331242188893953,3.0,16.3958,32.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.08710614341262143,0.44924707612002673,0.4467360643240258,0.99924804318921,-6.733957361841751,-3.5950660320472716,0.06284050359163829,6.0,19.9647,42.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.06572066450643253,0.41661409378992686,0.38512218041713897,0.9989252387226099,-6.827623162420571,-3.5037451703817046,0.1984318578693408,7.0,23.3559,45.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.05321037848715636,0.39298565812990366,0.34403085637625064,0.9980369757630196,-6.9451218063772995,-3.438189211601388,0.29472073275927096,11.0,26.7855,49.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.047459293670634006,0.3748785754946632,0.3145211310046059,0.9987695831385295,-7.0290846364891095,-3.3927079302936836,0.370647523058075,13.0,30.1363,55.0,0.1,10000,-7542166767976138876,5,9,10000
10000,0.03787725147415597,0.3571571734764183,0.2812092545182196,0.9990704617280574,-7.11023670679043,-3.3558512170385817,0.4414308536921457,16.0,33.4305,56.0,0.1,10000,-7542166767976138876,5,9,10000
