R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
0,1.0,0.6,5000,10000,1,4944091055192751503,1,extinct,1,0
0,1.0,0.6,5000,10000,2,3558100624411730683,1,extinct,1,0
0,1.0,0.6,5000,10000,3,251604855662253130,1,extinct,1,0
0,1.0,0.6,5000,10000,4,735856501510205125,1,extinct,1,0
0,1.0,0.6,5000,10000,5,-724139098847856710,1,extinct,1,0
0,1.0,0.8,5000,10000,1,-3149623546311466475,1,extinct,1,0
0,1.0,0.8,5000,10000,2,8664690524543751156,1,extinct,1,0
0,1.0,0.8,5000,10000,3,3129687701120054848,1,extinct,1,0
0,1.0,0.8,5000,10000,4,8419995930053632580,1,extinct,1,0
0,1.0,0.8,5000,10000,5,-2992950799772124949,1,extinct,1,0
0,1.0,1.0,5000,10000,1,8836784887491603131,1,extinct,1,0
0,1.0,1.0,5000,10000,2,-8686735407395454943,1,extinct,1,0
0,1.0,1.0,5000,10000,3,-6374114204047978726,1,extinct,1,0
0,1.0,1.0,5000,10000,4,-7719578982477664443,1,extinct,1,0
0,1.0,1.0,5000,10000,5,-6674135637475338199,1,extinct,1,0
0,1.5,0.0,5000,10000,1,9026819203036300029,1,extinct,1,0
0,1.5,0.0,5000,10000,2,5382387785177010713,1,extinct,1,0
0,1.5,0.0,5000,10000,3,4516212875713564183,1,extinct,1,0
0,1.5,0.0,5000,10000,4,6472818306093759187,1,extinct,1,0
0,1.5,0.0,5000,10000,5,3776049230668841094,1,extinct,1,0
0,1.5,0.2,5000,10000,1,7970879257515854283,1,extinct,1,0
0,1.5,0.2,5000,10000,2,-3551195670582630960,1,extinct,1,0
0,1.5,0.2,5000,10000,3,-4556196181846540327,1,extinct,1,0
0,1.5,0.2,5000,10000,4,6079937754376917268,1,extinct,1,0
0,1.5,0.2,5000,10000,5,3482812547326163370,1,extinct,1,0
0,1.5,0.4,5000,10000,1,-4737916910067298578,1,extinct,1,0
0,1.5,0.4,5000,10000,2,4312785107146268196,1,extinct,1,0
0,1.5,0.4,5000,10000,3,-7743550078194739722,1,extinct,1,0
0,1.5,0.4,5000,10000,4,2936698985646943095,1,extinct,1,0
0,1.5,0.4,5000,10000,5,-7759725106279143289,1,extinct,1,0
0,1.5,0.6,5000,10000,1,-726673883627989726,1,extinct,1,0
0,1.5,0.6,5000,10000,2,-8564741807899539680,1,extinct,1,0
0,1.5,0.6,5000,10000,3,-4843030149145580198,1,extinct,1,0
0,1.5,0.6,5000,10000,4,1379511757429563705,1,extinct,1,0
0,1.5,0.6,5000,10000,5,7763913147507158222,1,extinct,1,0
0,1.5,0.8,5000,10000,1,-8807277124207359070,1,extinct,1,0
0,1.5,0.8,5000,10000,2,6436767236891128777,1,extinct,1,0
0,1.5,0.8,5000,10000,3,8075891264107681010,1,extinct,1,0
0,1.5,0.8,5000,10000,4,4578368118927778947,1,extinct,1,0
0,1.5,0.8,5000,10000,5,6200911010827795626,1,extinct,1,0
