R,U,L,N,K,replicate,seed,generation,psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,auxiliary_meanmut,assembly_meanmut,replication_meanmut,host_meanmut,auxiliary_meanfree,assembly_meanfree,replication_meanfree,host_meanfree
2,3.0,0.0,5000,10000,3,-7447293262134923923,1,5000,0.9967085327321933,0.9967085327321931,0.9967085327321933,0.9967085327321933,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0
2,3.0,0.0,5000,10000,3,-7447293262134923923,2,9964,0.9434402686553641,0.9207144123953327,0.9882832985837614,0.9985593217310971,-5.645932975328901,-4.7254498936546385,-2.635618457187244,0.0,3.018968285828984,12.0,0.5475712565234846,0.8241670012043356,0.5491770373344038,1.0980529907667604,-4.720395325752897,-4.720019799286341,-4.737576169755519,-4.725986610331292
2,3.0,0.0,5000,10000,3,-7447293262134923923,3,10000,0.8132522069692107,0.8451944625557266,0.9539118331383379,0.9987380102435635,-6.01045723958457,-4.48823774659553,-1.6891493215459763,0.0,5.9221,16.0,1.1018,1.6196,1.0699,2.1308,-4.4620537195917285,-4.474516219673448,-4.50188935779789,-4.504795099687813
2,3.0,0.0,5000,10000,3,-7447293262134923923,4,10000,0.6617652956823231,0.7729325517370177,0.9011155901762686,0.998669741187794,-6.2482779501289025,-4.283674087463853,-1.1214710374041712,0.0,8.741,20.0,1.6358,2.3957,1.5636,3.1459,-4.238688116361507,-4.25842361643843,-4.310495781712582,-4.311694079159727
2,3.0,0.0,5000,10000,3,-7447293262134923923,5,10000,0.5580342509272143,0.7246003129476382,0.8441565414932666,0.9987960341259549,-6.405672001548874,-4.124828470798186,-0.7761722242290646,0.0,11.3885,27.0,2.1497,3.133,2.0212,4.0846,-4.042138860840469,-4.07273423408604,-4.1840150857329546,-4.17565064584377
2,3.0,0.0,5000,10000,3,-7447293262134923923,6,10000,0.484376497848898,0.6788483006231649,0.7856865420924739,0.9987311114027978,-6.531141826798352,-3.985752478101365,-0.5251098898064225,1.0,13.9415,31.0,2.6246,3.8678,2.466,4.9831,-3.8684946356217464,-3.9156277932268115,-4.073421548189882,-4.0531403779528326
2,3.0,0.0,5000,10000,3,-7447293262134923923,7,10000,0.42556685528027205,0.6393359707065861,0.7321228886488872,0.9983011061285753,-6.624127635775019,-3.8651095515097964,-0.3117883373977485,4.0,16.4468,34.0,3.1004,4.5548,2.9261,5.8655,-3.727580108544965,-3.7838049224752095,-3.9472986187865566,-3.953758211129773
2,3.0,0.0,5000,10000,3,-7447293262134923923,8,10000,0.3731267679964719,0.607316807936602,0.6854832940324632,0.9981601759170393,-6.71501691041569,-3.7703541547753674,-0.15565230270235378,6.0,18.8328,38.0,3.5331,5.2117,3.3608,6.7272,-3.610997536554536,-3.670057558407547,-3.862103184877086,-3.8793803961107884
2,3.0,0.0,5000,10000,3,-7447293262134923923,9,10000,0.3558488081811602,0.5921248748564335,0.6546159780450027,0.9986204279243662,-6.810552043857289,-3.707963543884574,-0.08437395210098159,8.0,21.1118,41.0,3.954,5.874,3.7693,7.5145,-3.540263656724602,-3.587641907757295,-3.8228426121737997,-3.824615180415407
2,3.0,0.0,5000,10000,3,-7447293262134923923,10,10000,0.3223006021716467,0.5669502479599232,0.6156515505219425,0.997855788230224,-6.907117927197012,-3.64581325558379,0.0433647199821899,8.0,23.4682,46.0,4.3795,6.5402,4.2015,8.347,-3.465450234523811,-3.5067695533195997,-3.756847288117653,-3.784760526544992
2,3.0,0.0,5000,10000,3,-7447293262134923923,11,10000,0.29923448638776656,0.5543691579701945,0.6018456763834537,0.9981634065818359,-6.991097451260573,-3.599466123003146,0.10089724372069554,11.0,25.7651,47.0,4.8008,7.1755,4.6276,9.1612,-3.4041752770504563,-3.4538705754683847,-3.6898799046059816,-3.7611013158291446
2,3.0,0.0,5000,10000,3,-7447293262134923923,12,10000,0.2842945150905025,0.5404822225936092,0.5806364873979593,0.9981808064415522,-7.06856643724241,-3.5645626186297044,0.16190843536147037,12.0,28.0583,49.0,5.2121,7.8216,5.0532,9.9714,-3.365498596107322,-3.3947959587111547,-3.657095183796421,-3.7451533422464496
2,3.0,0.0,5000,10000,3,-7447293262134923923,13,10000,0.2720060023701697,0.5300616754746874,0.5629504603870399,0.9981879572846899,-7.139549939842845,-3.5291620282135887,0.2179249749657962,12.0,30.4443,52.0,5.6324,8.4648,5.509,10.8381,-3.3067963791540214,-3.3491302170519535,-3.6261007724494076,-3.7268993389966907
2,3.0,0.0,5000,10000,3,-7447293262134923923,14,10000,0.25620732227916154,0.521053784535602,0.5491758015778397,0.9987199196400118,-7.2111677412430275,-3.511557704395765,0.2586912272363425,15.0,32.7267,55.0,6.0336,9.0805,5.9342,11.6784,-3.2847270973621896,-3.3116448989960454,-3.6142580009352243,-3.723557463692613
2,3.0,0.0,5000,10000,3,-7447293262134923923,15,10000,0.2546920169020523,0.5188695011870671,0.5467193254654175,0.9987199196400118,-7.266069999948682,-3.500016748438407,0.2548690963475696,17.0,34.9848,57.0,6.4368,9.6821,6.3576,12.5083,-3.264775018456675,-3.3047340598681623,-3.6189439732825455,-3.7046360174348854
2,3.0,0.0,5000,10000,3,-7447293262134923923,16,10000,0.24248763335810397,0.5112365761671497,0.5339905037992165,0.9976283875337992,-7.341116563515728,-3.4921718874087166,0.2829667476554977,19.0,37.2057,66.0,6.8189,10.2809,6.7541,13.3518,-3.2419481469564393,-3.2869030268584787,-3.6208418150840602,-3.7069004392098606
2,3.0,0.0,5000,10000,3,-7447293262134923923,17,10000,0.23682275234771338,0.4995719645126248,0.5151119935211981,0.9987268402719455,-7.416102863504042,-3.474714178478478,0.35551023939635057,19.0,39.5444,70.0,7.2237,10.924,7.1773,14.2194,-3.219446944465564,-3.253202236392039,-3.61493634150414,-3.6983706705369332
2,3.0,0.0,5000,10000,3,-7447293262134923923,18,10000,0.2388078299750505,0.4992047791310477,0.5149784830620697,0.997426155503238,-7.484822942915268,-3.4766604699571872,0.36073916404316525,21.0,41.7864,72.0,7.655,11.4941,7.595,15.0423,-3.1890763133595312,-3.2653422116351734,-3.6193159110400055,-3.7076135214561177
2,3.0,0.0,5000,10000,3,-7447293262134923923,19,10000,0.23526628874356253,0.494571790837988,0.5084213794764819,0.9975811524183548,-7.541294595870933,-3.477634166956134,0.3699572478168853,23.0,44.0031,75.0,8.0448,12.1235,7.9734,15.8614,-3.1851607820527454,-3.2727607859115944,-3.628834453069021,-3.7019257521347915
2,3.0,0.0,5000,10000,3,-7447293262134923923,20,9896,0.2359917625587446,0.4966034377014159,0.5122486307823593,0.9975123147517194,-7.600969136721297,-3.487112798158401,0.37037276134358643,24.0,46.3178051738076,73.0,8.466653193209378,12.73191188358933,8.40289005658852,16.716350040420373,-3.1863337187145158,-3.281276560280404,-3.6631413742881525,-3.703865228223966
2,3.0,0.0,5000,10000,3,-7447293262134923923,21,9783,0.22236902942580594,0.48978872090534314,0.5048757930470025,0.996995723749599,-7.669000401997081,-3.4847869618847183,0.39011916758135706,26.0,48.63037922927527,76.0,8.87938260247368,13.34723499948891,8.805172237554942,17.598589389757745,-3.1911357353559198,-3.2738612341027302,-3.6687335048364025,-3.697833599509766
2,3.0,0.0,5000,10000,3,-7447293262134923923,22,9554,0.22657198785922875,0.48963093889785525,0.5040936149400567,0.996995723749599,-7.728327249683997,-3.503181769296242,0.40521726753774273,27.0,50.84875444839858,82.0,9.30395645802805,13.966087502616706,9.207661712371781,18.37104877538204,-3.218819942677301,-3.2728658594937143,-3.6901911442307407,-3.7245949274903585
2,3.0,0.0,5000,10000,3,-7447293262134923923,23,9343,0.218435045866603,0.4858220254226214,0.4956183344588709,0.994697170183425,-7.818976804441596,-3.512174422841394,0.4316185872521778,29.0,53.248100181954406,88.0,9.777373434656962,14.620999678903992,9.671304720111314,19.178422348282137,-3.2331674623017674,-3.27193940449291,-3.708659269336114,-3.7336117436252083
2,3.0,0.0,5000,10000,3,-7447293262134923923,24,9045,0.22841925861076914,0.4934291624861871,0.5076367742998323,0.9945337430238265,-7.886906531474698,-3.5324793689344327,0.40093863900868076,30.0,55.62001105583195,82.0,10.216030956329464,15.253952459922608,10.126478717523494,20.023548922056385,-3.239072217598933,-3.2922190638926097,-3.7312611896436354,-3.759987263028948
2,3.0,0.0,5000,10000,3,-7447293262134923923,25,8811,0.23379392092666573,0.49563469810551347,0.5108359118575542,0.9953925896267455,-7.930492277199191,-3.5513816045404902,0.38024296770454674,31.0,57.937010554988085,85.0,10.629894450119169,15.840880717285211,10.61116785835887,20.855067529224833,-3.2849709361315726,-3.307289518608228,-3.7358571876814217,-3.7754182116236796
2,3.0,0.0,5000,10000,3,-7447293262134923923,26,8757,0.22639372462848018,0.48912876440423975,0.5050180778394725,0.9971578339019656,-7.98347747329744,-3.5667665523636263,0.4083085940567648,31.0,60.26378896882494,88.0,11.021925316889346,16.457234212629896,11.083476076281832,21.701153363023867,-3.2976017284912555,-3.3267488795054194,-3.768049262508937,-3.7807208638708114
