R,U,L,N,K,replicate,seed,generation,psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,auxiliary_meanmut,assembly_meanmut,replication_meanmut,host_meanmut,auxiliary_meanfree,assembly_meanfree,replication_meanfree,host_meanfree
2,3.0,0.0,5000,10000,4,-1025641870539518793,1,5000,0.9967085327321933,0.9967085327321931,0.9967085327321933,0.9967085327321933,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0
2,3.0,0.0,5000,10000,4,-1025641870539518793,2,9964,0.9436793290159711,0.9234116865390333,0.9885992044059331,0.998755362424045,-5.638036867446579,-4.7273672717699,-2.652032318678839,0.0,3.006322761942995,13.0,0.543054997992774,0.819650742673625,0.5459654757125653,1.0976515455640306,-4.714291181615176,-4.720538906634698,-4.73033287657147,-4.73754378829788
2,3.0,0.0,5000,10000,4,-1025641870539518793,3,10000,0.8150201440773901,0.8446427248610696,0.9524695868694664,0.9988814142513006,-5.9964276850863465,-4.48382351861975,-1.682369799355371,0.0,5.893,18.0,1.0668,1.6267,1.0717,2.1278,-4.456510081063327,-4.466655066446722,-4.4833851917841985,-4.510575739945509
2,3.0,0.0,5000,10000,4,-1025641870539518793,4,10000,0.6845848624467223,0.7789368083346558,0.9011892617126125,0.9986758940556312,-6.246296286503641,-4.289619391712192,-1.1554082445496499,1.0,8.6589,21.0,1.5653,2.3784,1.5801,3.1351,-4.255701746088828,-4.261144260793846,-4.309829116700146,-4.317829700218656
2,3.0,0.0,5000,10000,4,-1025641870539518793,5,10000,0.5506267950465832,0.7204003566271369,0.8405945525972434,0.9986758940556312,-6.421882575731588,-4.119441954776555,-0.7812954542859807,2.0,11.3123,26.0,2.0739,3.1138,2.0552,4.0694,-4.058359649534895,-4.065590882558924,-4.160003995188825,-4.17009039135447
2,3.0,0.0,5000,10000,4,-1025641870539518793,6,10000,0.48291350416387846,0.6757537177945238,0.7821053218178042,0.9985957930420106,-6.559459368083277,-3.9815924061224925,-0.5202415228155616,3.0,13.8767,27.0,2.5728,3.831,2.5041,4.9688,-3.902838168181667,-3.909680575510201,-4.033245771295973,-4.049076715465386
2,3.0,0.0,5000,10000,4,-1025641870539518793,7,10000,0.42495042844975683,0.6376664142991687,0.7287355204630286,0.998613957071776,-6.6635050644412495,-3.861136280707679,-0.3101139492573593,4.0,16.3699,34.0,3.0332,4.5338,2.9447,5.8582,-3.751409670443648,-3.7751070896555654,-3.9358836474642276,-3.9431477957505034
2,3.0,0.0,5000,10000,4,-1025641870539518793,8,10000,0.38452739311166423,0.6133385046467825,0.6948835614511675,0.9988287175636862,-6.75346363580609,-3.778612439564505,-0.19253414740480665,6.0,18.7189,36.0,3.4902,5.1979,3.3452,6.6856,-3.6418930372296265,-3.660886108724997,-3.89326499723513,-3.8779406100262657
2,3.0,0.0,5000,10000,4,-1025641870539518793,9,10000,0.35019127798421096,0.5904318750260014,0.6604873292556126,0.9986652704271937,-6.843005278980234,-3.702222625319838,-0.0770166158812901,8.0,21.104,44.0,3.937,5.8553,3.763,7.5487,-3.53657660502566,-3.5866872334397857,-3.8369454680696538,-3.804335758002057
2,3.0,0.0,5000,10000,4,-1025641870539518793,10,10000,0.31777449507164035,0.5668672016231484,0.6172235826049295,0.9986913798696239,-6.9321145470604355,-3.6369700667215454,0.04451572790915856,10.0,23.4883,44.0,4.3978,6.5077,4.1774,8.4054,-3.4372694119770486,-3.5099192569915774,-3.788326451072404,-3.7564303092158386
2,3.0,0.0,5000,10000,4,-1025641870539518793,11,10000,0.2901362046854594,0.5467221531189483,0.5878715087704627,0.9987755056506946,-6.998181040836529,-3.585390281900573,0.13555469993377917,11.0,25.7468,47.0,4.8203,7.1304,4.5736,9.2225,-3.39090540285788,-3.4368810614196548,-3.7440279119529047,-3.714695821756442
2,3.0,0.0,5000,10000,4,-1025641870539518793,12,10000,0.27379408043246045,0.533585474576826,0.5668720648254932,0.9985339935519312,-7.073936886595756,-3.548880012500663,0.19167605552846226,13.0,28.0106,48.0,5.2249,7.7334,4.9626,10.0897,-3.343468485520869,-3.3817336737307544,-3.722273687118174,-3.690248692759236
2,3.0,0.0,5000,10000,4,-1025641870539518793,13,10000,0.26670536916263965,0.5229701002512911,0.5485357896128384,0.9977659280108659,-7.129004979176936,-3.519190303447434,0.24309948025247313,14.0,30.2418,51.0,5.6559,8.3244,5.3633,10.8982,-3.298370975453029,-3.3323339191752472,-3.70946998543388,-3.6746024146555536
2,3.0,0.0,5000,10000,4,-1025641870539518793,14,10000,0.2574289002333353,0.5163632955557141,0.5338956591192543,0.998025755525993,-7.197778585708293,-3.4946311305387434,0.27055387032870604,15.0,32.4855,55.0,6.0834,8.944,5.7746,11.6835,-3.264974664011647,-3.283488303963715,-3.688728501173499,-3.670767798416186
2,3.0,0.0,5000,10000,4,-1025641870539518793,15,10000,0.25000124331642437,0.5084587305538586,0.5265184239314772,0.9974686296625542,-7.272701143406948,-3.474964323220444,0.32675502039968485,16.0,34.7042,60.0,6.477,9.5564,6.2079,12.4629,-3.244869182832336,-3.250745750920099,-3.653442708726048,-3.668936629886953
2,3.0,0.0,5000,10000,4,-1025641870539518793,16,10000,0.24338006937012863,0.5037417672539688,0.5199751016332415,0.9978868314453283,-7.330675306400781,-3.458210772477338,0.3468689664536111,17.0,36.9115,62.0,6.9058,10.1092,6.6289,13.2676,-3.215853999119516,-3.224819842074893,-3.647445196535898,-3.6598151449288046
2,3.0,0.0,5000,10000,4,-1025641870539518793,17,10000,0.23129064087736845,0.49743814098050554,0.5146285354695785,0.9981957365001278,-7.380979049743703,-3.452564376741623,0.3604085865897153,20.0,39.0498,64.0,7.277,10.6905,7.0084,14.0739,-3.216171668451684,-3.2076115857550214,-3.64815972054662,-3.656677652224047
2,3.0,0.0,5000,10000,4,-1025641870539518793,18,9904,0.23443864482657611,0.49558186335310006,0.5075383542997197,0.9981957365001278,-7.418747379426141,-3.4475434845851938,0.3713826537592831,22.0,41.219709208400644,68.0,7.652766558966074,11.30735056542811,7.405088852988691,14.854503231017771,-3.1994940798253353,-3.1858373593817957,-3.6391034757614955,-3.67206778527952
2,3.0,0.0,5000,10000,4,-1025641870539518793,19,9834,0.2311552602892194,0.4913965831663133,0.5035460519716356,0.9977042511954,-7.479979755023711,-3.4461614959451476,0.39250342056464477,23.0,43.383262151718526,73.0,8.063555013219442,11.877872686597518,7.77984543420785,15.661989017693715,-3.2079940179342956,-3.1803879580058463,-3.6235651177713133,-3.6758735774919673
2,3.0,0.0,5000,10000,4,-1025641870539518793,20,9656,0.22435193190321337,0.4839586621110812,0.4933278931814413,0.9950587388176528,-7.520704828034678,-3.435872486145987,0.42739284175271186,24.0,45.69904722452361,78.0,8.47887323943662,12.505281690140846,8.220381110190555,16.49451118475559,-3.19951294304782,-3.174022610061726,-3.6302159249854724,-3.6532679453385244
2,3.0,0.0,5000,10000,4,-1025641870539518793,21,9337,0.21071000644244106,0.4822672818563654,0.49618701322839126,0.9954100202811246,-7.537825559204244,-3.4359287570262627,0.42654538501196626,24.0,47.81278783335118,74.0,8.861839991431937,13.109456999036093,8.609403448645175,17.23208739423798,-3.221571172336667,-3.145294265298523,-3.638320589911271,-3.659887501724362
2,3.0,0.0,5000,10000,4,-1025641870539518793,22,8999,0.22437151607439887,0.48579400276760615,0.4960622058047862,0.9954100202811246,-7.589107648687115,-3.4446940186051713,0.4115322495878879,28.0,50.0494499388821,74.0,9.289809978886543,13.691521280142238,9.019113234803868,18.04900544504945,-3.265389109862646,-3.1441121154890856,-3.65619917941581,-3.6540303199081787
2,3.0,0.0,5000,10000,4,-1025641870539518793,23,8672,0.21965188822899315,0.48315885691109395,0.4919390673367834,0.9930206135784478,-7.6155963972659,-3.440243827380239,0.43256356469468993,29.0,52.30419741697417,78.0,9.730857933579335,14.28955258302583,9.392181734317344,18.89160516605166,-3.259454836438998,-3.1330199627696236,-3.654592894370069,-3.653881687813906
2,3.0,0.0,5000,10000,4,-1025641870539518793,24,8398,0.21646024597809954,0.47682232922928747,0.4820200673261145,0.9951837601417572,-7.639915318440846,-3.4387122180772964,0.46865723028417305,32.0,54.627292212431534,83.0,10.155513217432722,14.924505834722552,9.798285306025244,19.748987854251013,-3.2519578007368724,-3.1223992841734427,-3.663091940934668,-3.6571342657467114
2,3.0,0.0,5000,10000,4,-1025641870539518793,25,8017,0.20712916257437164,0.4740720291058481,0.4844705570940692,0.9951922476221963,-7.697785165995327,-3.444590440036112,0.47049292048205493,34.0,56.986653361606585,88.0,10.55257577647499,15.56442559560933,10.235873768242485,20.63377822127978,-3.275446894802251,-3.109322994540096,-3.6596719771823443,-3.6730720282019385
2,3.0,0.0,5000,10000,4,-1025641870539518793,26,7608,0.2040610098907828,0.4702860537363603,0.4718411109119375,0.997127061223868,-7.755505334106287,-3.4601339290509037,0.48794759826760764,37.0,59.29350683491062,91.0,10.995793901156677,16.18559411146162,10.583990536277602,21.52812828601472,-3.3045646666797253,-3.12015117093431,-3.6737033331069435,-3.6861209267959176
