R,U,L,N,K,replicate,seed,generation,psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,auxiliary_meanmut,assembly_meanmut,replication_meanmut,host_meanmut,auxiliary_meanfree,assembly_meanfree,replication_meanfree,host_meanfree
2,3.0,0.0,5000,10000,5,8767448665199669658,1,5000,0.9967085327321933,0.9967085327321931,0.9967085327321933,0.9967085327321933,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0
2,3.0,0.0,5000,10000,5,8767448665199669658,2,9966,0.9427235892608895,0.9209038624190379,0.9886257884671938,0.9986749270024124,-5.6546775081833225,-4.730761131291397,-2.662299743657878,0.0,3.0041139875576963,12.0,0.5369255468593217,0.8266104756170981,0.5405378286172988,1.1000401364639776,-4.730215815511799,-4.728629268743661,-4.742387757387635,-4.7268193730438774
2,3.0,0.0,5000,10000,5,8767448665199669658,3,10000,0.8070872015359335,0.8410499780336425,0.9545763623435782,0.9986693255065557,-6.011681418527227,-4.493523886715714,-1.6864688860118184,0.0,5.9007,17.0,1.0709,1.6415,1.064,2.1243,-4.477139568939101,-4.478836774176507,-4.509916701736866,-4.504534972497851
2,3.0,0.0,5000,10000,5,8767448665199669658,4,10000,0.6667267028021185,0.776399410444216,0.901585382635326,0.9986671498859354,-6.245580905599665,-4.28984318960735,-1.1387004249868444,0.0,8.6591,21.0,1.5722,2.4211,1.5595,3.1063,-4.2651150434487635,-4.253473729914855,-4.3252411320931685,-4.311785386213105
2,3.0,0.0,5000,10000,5,8767448665199669658,5,10000,0.540532517282243,0.7158078109225579,0.8362103945351744,0.9985696734915703,-6.411127212910715,-4.118107959173426,-0.7371464851961135,0.0,11.3133,26.0,2.0659,3.1724,2.0404,4.0346,-4.064776405650163,-4.061468378423489,-4.17118628717088,-4.160714257498783
2,3.0,0.0,5000,10000,5,8767448665199669658,6,10000,0.4733725861511688,0.6730644829139691,0.7757256869872398,0.9988034920013126,-6.56023743937915,-3.9881439403646013,-0.502202747823917,1.0,13.8936,30.0,2.5527,3.8969,2.511,4.933,-3.9148534629151066,-3.914456293253295,-4.04604648584401,-4.051103641683125
2,3.0,0.0,5000,10000,5,8767448665199669658,7,10000,0.42799385387318095,0.6392586080021445,0.7292669792967059,0.9988811766255202,-6.676954714740462,-3.8759981284680833,-0.3127066659951248,2.0,16.3404,35.0,3.0209,4.5951,2.9312,5.7932,-3.776551278108111,-3.7613737239026603,-3.9763535378615553,-3.9615121523754038
2,3.0,0.0,5000,10000,5,8767448665199669658,8,10000,0.38311052522545713,0.6118670557466379,0.6883580008859864,0.9984420966047437,-6.778893899190704,-3.787099457827244,-0.1812482230743012,6.0,18.7612,38.0,3.4876,5.2627,3.3574,6.6535,-3.652555329658123,-3.6560159504058074,-3.8920082414253074,-3.9002297606788496
2,3.0,0.0,5000,10000,5,8767448665199669658,9,10000,0.3438906334550422,0.584836832022444,0.6488893251870341,0.9972413442323734,-6.867884896073843,-3.6989795475396487,-0.03483973951031782,7.0,21.1866,40.0,3.967,5.9191,3.7822,7.5183,-3.525198860950696,-3.548250582598987,-3.8428254557536836,-3.8269936604326023
2,3.0,0.0,5000,10000,5,8767448665199669658,10,10000,0.32305588550261843,0.5680376251060405,0.6216307521225788,0.9966396652603858,-6.9515640372428065,-3.641430854738153,0.03149160629216624,8.0,23.4352,44.0,4.3821,6.5372,4.1954,8.3205,-3.4507966811655466,-3.4690780705093487,-3.7862068595092753,-3.793624527310499
