psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.7535785130579751,0.8063841295681634,0.943221448049127,0.9982506439591682,-5.8830996065042145,-4.499278377322865,-1.8068716471508095,0.0,4.9833,15.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.33845741661147205,0.6350744402678478,0.7749065316032371,0.9982450907040499,-6.266802636946644,-4.10517580933278,-0.7473056033801654,1.0,9.6949,23.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.13307905145424942,0.5144302284128401,0.5749163424684492,0.9983608131436534,-6.473386610202111,-3.8033512008297943,-0.16745053620448228,3.0,14.0689,31.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.07517851400757256,0.4414879438624238,0.4314198913418099,0.997990614691315,-6.637340587023678,-3.6010110263262236,0.1371748891141379,6.0,18.0731,35.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.04638018925827045,0.39376540743354016,0.33047050486078655,0.9975061836500299,-6.76966388267312,-3.4690378280230063,0.3399995480153238,8.0,21.9108,41.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.03682732543883674,0.36520529547140196,0.290736048495036,0.9975501211223884,-6.876040763605962,-3.3830231206335455,0.44875286497310635,10.0,25.6621,46.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.029875495872402073,0.34439118016947734,0.2521994491161813,0.9966103049282754,-6.984886984979856,-3.3254160387543545,0.5309021654960056,12.0,29.2322,53.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.02734028037731996,0.32643938596154687,0.2294080194940283,0.9966568534082944,-7.059740149587847,-3.2711983042910213,0.5916199696479023,14.0,32.8965,56.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.021594335913783833,0.3129396700888827,0.20182223330355675,0.997311394291189,-7.085676297362885,-3.2184946299381654,0.6605853580887009,19.0,36.6292,60.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.017519301138440573,0.3003953081204802,0.18451117389218363,0.997357632078326,-7.115666591511839,-3.1781309779103526,0.7238352212525104,22.0,40.4483,68.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.018867310530062666,0.2980623197333541,0.1865214075406117,0.9943211983689699,-7.177299793727696,-3.1762360009817376,0.7119726606563906,23.0,44.1454,69.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.017505531092747918,0.29057612788200937,0.17299782185355184,0.9941335158811294,-7.2452997997677535,-3.1678315222574227,0.7554924076577676,27.0,48.0081,77.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.015563235677206378,0.2858259896312666,0.17012932778120338,0.9933705736718981,-7.361992113578448,-3.1797313440339656,0.7662470131671946,28.0,51.5791,79.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.015326918847665592,0.2838304693070768,0.16869184861613096,0.99288135976301,-7.443408982207975,-3.1903323563891086,0.7981869638094806,31.0,55.2816,86.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.015151065381702432,0.28763111888703013,0.16716399638890717,0.9942860400442596,-7.568178627061894,-3.225200326485173,0.7779963597917966,34.0,58.7792,86.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.014321115300391977,0.28250441023095324,0.15924116684970108,0.9941640756274611,-7.64719062306876,-3.2268598226498724,0.8049204537601301,38.0,62.3885,94.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.01582318980652193,0.28769650593463064,0.17672007001095064,0.9944915399136167,-7.719259008893348,-3.2562117489722078,0.7686829542679421,40.0,65.8259,99.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.017834024817073524,0.29240354201365915,0.18293955224484362,0.9954712009199163,-7.798858351946189,-3.3028474652990902,0.7342921219084682,45.0,69.0682,101.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.017422768014541835,0.2930881712723268,0.17764919671713947,0.9944605370643168,-7.8114465142707985,-3.3152170580523896,0.7368377257099575,49.0,72.3625,111.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.01665491635052328,0.29068173857194496,0.17158290495494385,0.9915088262477881,-7.920633356140883,-3.3460489626441494,0.7670901811103368,51.0,75.8454,107.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.01969100437049807,0.2987016662183014,0.19031569289811665,0.9973244106557011,-7.975704435991475,-3.371240488304867,0.7046751461583337,53.0,79.3579,113.0,0.0,10000,6286502567889886996,5,9,10000
10000,0.017360019880410908,0.29308218693390825,0.17650916040059222,0.991772093103902,-8.050358307218502,-3.3741525946668074,0.7582859182802629,55.0,82.8266,120.0,0.0,10000,6286502567889886996,5,9,10000
