psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.7906626790369418,0.8241686105919598,0.9560738150716723,0.9982367726510761,-5.832207718247396,-4.547350321381338,-1.9689772962533665,0.0,4.5138,15.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.41721483490627576,0.6692442187613444,0.8199534208444886,0.9984378542136401,-6.219817850208031,-4.189816130138455,-0.9377422429843495,0.0,8.735,22.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.23136051840056096,0.5719872096679456,0.6722855421860789,0.9983053846232889,-6.444302423302549,-3.9388551864755637,-0.45356991794621665,2.0,12.6345,31.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.14063323673823305,0.5042053497364488,0.5537874788030284,0.9983391402558406,-6.594926866537149,-3.7431806538323666,-0.15609648387842687,4.0,16.3858,36.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.08540045690036827,0.44975334345109813,0.45007108058916756,0.9991677685895242,-6.729446963762326,-3.5909323552598864,0.08183719518345817,4.0,19.9748,40.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.059908098737587484,0.4135024632175571,0.3801176111820914,0.9989382916256949,-6.851995384886195,-3.494548215454069,0.22171978750445914,7.0,23.4887,46.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.05471699548808045,0.3933433638363023,0.3430586783450477,0.9968094638477726,-6.9312416064952584,-3.430323364382451,0.2882071586264549,8.0,26.8067,50.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.03937122747120602,0.36737291465141686,0.2966470568000822,0.997619905994724,-7.010359464798572,-3.3733746267404494,0.4118022489246421,9.0,30.0936,56.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.03900809643244233,0.35878384913976485,0.282162966549396,0.9980319996803168,-7.0939768758702675,-3.348879445312597,0.43730662320519187,13.0,33.3843,57.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.03568307043307999,0.34886015598250525,0.26591561799447183,0.9983258998336205,-7.156865676713412,-3.326544116322483,0.4745274407333838,19.0,36.687,61.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.03363587645245667,0.3385163303739758,0.24898188801794707,0.9980785805742282,-7.2263683380364006,-3.3123305392678666,0.5121660151282477,20.0,39.9976,68.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.033324979912691496,0.3375961892251142,0.2526057380171183,0.9923403575952339,-7.316614329418531,-3.317093763453944,0.5186731598088138,21.0,43.2729,70.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.029879606481848696,0.32935499661664824,0.23978072345573465,0.9929659102537814,-7.386601756188173,-3.3134541983763355,0.5463681170821063,23.0,46.5929,70.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.029494675861421134,0.32823700494559727,0.23472346931885146,0.9933603559396307,-7.433769785545469,-3.3051027988744806,0.5588172071188378,28.0,50.0591,78.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.030084740052524248,0.32987887412459205,0.24095862438088722,0.9953084645075045,-7.527850797786884,-3.333249529450954,0.55137130267551,31.0,53.4509,84.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.02987529724626544,0.3301678231023518,0.24165152581323462,0.9929620620639384,-7.564798519853121,-3.3489413062376654,0.5699833849868609,34.0,56.8995,87.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.028101443434446517,0.32711224900150215,0.23463977082410148,0.9950749436489723,-7.652373318447318,-3.3635526263594233,0.5794004139987651,36.0,60.2656,94.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.028906817662160796,0.32523355881287536,0.2333925368355162,0.9950749436489723,-7.74269132548293,-3.384895880130032,0.5766308601613189,41.0,63.7532,100.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.02951579006336935,0.3260589469621421,0.23421404244866914,0.9952045137684398,-7.822490938591586,-3.4096007457279245,0.5644918491835362,43.0,67.0572,105.0,0.1,10000,5057030981194866314,5,9,10000
10000,0.029738983907148974,0.32866671373543316,0.23810784548310454,0.9966904458107102,-7.869445279536465,-3.415445164968894,0.5551734288024485,46.0,70.2752,109.0,0.1,10000,5057030981194866314,5,9,10000
